"UID","Title","Service","Type","Date Initiated","Date Resolved","Action Taken",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8451"", ""8451"")","Recieving CC-PADR Consults","","05. Consult Service - Template","12/28/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8449"", ""8449"")","Update STORM Opioid Naive/New Start CROC","","01. Clinical Reminder - Troubleshooting/Questions","12/28/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8446"", ""8446"")","Need to inactivate The NCHCS MST RECOVERY COORDINATION CONSULT","","03. Consult Service - Change","12/28/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8445"", ""8445"")","Import template dialog VA-VIDEO DEVICE ORDER CONSULT RESULT NOTE","","05. Consult Service - Template","12/28/2023","12/28/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8444"", ""8444"")","CRH Consult request -- V21 CRH PHYSICAL THERAPY TAI CHI (NORCAL ONLY) IFC","","04. Consult Service - New","12/28/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8442"", ""8442"")","Consult Access unable to link notes - Fisher","","02. Consult Service - Access/Alerts","12/27/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8441"", ""8441"")","Staff showing ZZBishop, Lisa E in CPRS - is this an identity / access issue?","","12. Other Request or Inquiry","12/27/2023","12/28/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8440"", ""8440"")","HARRINGTON - CPRS Access/Alert Request","","02. Consult Service - Access/Alerts","12/27/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8439"", ""8439"")","HARRINGTON - CPRS Alert Removal Request","","02. Consult Service - Access/Alerts","12/27/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8437"", ""8437"")","Update to HCHV Template","","09. Note - Template Request","12/27/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8436"", ""8436"")","Update to GPD template","","09. Note - Template Request","12/27/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8435"", ""8435"")","receive view alerts on pregancy tests","","02. Consult Service - Access/Alerts","12/27/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8434"", ""8434"")","Edit to new Comp Assessment Update template from Leaf 7105","","09. Note - Template Request","12/27/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8433"", ""8433"")","Restore settings for upload/scanning for Shayla McDaniel","","06. CPRS Menu, Order, or Order Set - Change","12/27/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8432"", ""8432"")","Add MTZ PC Nurse Managers on Consult Alerts","","02. Consult Service - Access/Alerts","12/27/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8430"", ""8430"")","Nursing Skilled - Primary Care","","02. Consult Service - Access/Alerts","12/27/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8429"", ""8429"")","removal of Nursing Skilled Home Referral Outpt","","02. Consult Service - Access/Alerts","12/27/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8427"", ""8427"")","VA-TeleOncology Program Templates (Clinical Reminder Update_2_0_392)","","15. **FOR CAC USE ONLY**","12/27/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8426"", ""8426"")","Jenny Stanley ENT IFC","","02. Consult Service - Access/Alerts","12/27/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8424"", ""8424"")","In CPRS as a ""generic user"" instead of an RN","","12. Other Request or Inquiry","12/27/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8423"", ""8423"")","other","","12. Other Request or Inquiry","12/27/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8422"", ""8422"")","Consult Access - Nursing Skilled","Primary Care Service","02. Consult Service - Access/Alerts","12/27/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8421"", ""8421"")","V21 CRH CARDIOLOGY ADVANCED HEART FAILURE IFC","","02. Consult Service - Access/Alerts","12/27/2023","12/27/2023","Completed",
